1448,822,2816,2696,909,1551,930
1200,4800,1888,4343,3708,3653,1992
4422,2956,4023,4959,4672,1996,2898
1131,4166,2100,643,4817,3086,926
2847,3357,3725,2329,3463,3066,3711
1484,4486,584,3213,3295,4446,2562
2053,2153,824,1087,2163,4143,743
2329,526,3770,3213,1815,1728,3362
962,4170,685,3758,3756,1370,2265
2659,1094,1794,1787,2961,1643,1847
3298,1944,1016,3227,1138,4766,2729
2501,3264,1377,4290,3965,1988,2309
3281,2280,2032,4858,2055,1560,4137
560,1330,861,598,3807,3565,2542
1707,2709,4341,2810,2151,902,2175
